Date,Value
2012/3/21,15.13
2012/3/22,15.57
2012/3/23,14.82
2012/3/26,14.26
2012/3/27,15.59
2012/3/28,15.47
2012/3/29,15.48
2012/3/30,15.5
2012/4/2,15.64
2012/4/3,15.66
2012/4/4,16.440001
2012/4/5,16.700001
2012/4/9,18.809999
2012/4/10,20.389999
2012/4/11,20.02
2012/4/12,17.200001
2012/4/13,19.549999
2012/4/16,19.549999
2012/4/17,18.459999
2012/4/18,18.639999
2012/4/19,18.360001
2012/4/20,17.440001
2012/4/23,18.969999
2012/4/24,18.1
2012/4/25,16.82
2012/4/26,16.24
2012/4/27,16.32
2012/4/30,17.15
2012/5/1,16.6
2012/5/2,16.879999
2012/5/3,17.559999
2012/5/4,19.16
2012/5/7,18.940001
2012/5/8,19.049999
2012/5/9,20.08
2012/5/10,18.83
2012/5/11,19.889999
2012/5/14,21.870001
2012/5/15,21.969999
2012/5/16,22.27
2012/5/17,24.49
2012/5/18,25.1
2012/5/21,22.01
2012/5/22,22.48
2012/5/23,22.33
2012/5/24,21.540001
2012/5/25,21.76
2012/5/29,21.030001
2012/5/30,24.139999
2012/5/31,24.059999
2012/6/1,26.66
2012/6/4,26.120001
2012/6/5,24.68
2012/6/6,22.16
2012/6/7,21.719999
2012/6/8,21.23
2012/6/11,23.559999
2012/6/12,22.09
2012/6/13,24.27
2012/6/14,21.68
2012/6/15,21.110001
2012/6/18,18.32
2012/6/19,18.379999
2012/6/20,17.24
2012/6/21,20.08
2012/6/22,18.110001
2012/6/25,20.379999
2012/6/26,19.719999
2012/6/27,19.450001
2012/6/28,19.709999
2012/6/29,17.08
2012/7/2,16.799999
2012/7/3,16.66
2012/7/5,17.5
2012/7/6,17.1
2012/7/9,17.98
2012/7/10,18.719999
2012/7/11,17.950001
2012/7/12,18.33
2012/7/13,16.74
2012/7/16,17.110001
2012/7/17,16.48
2012/7/18,16.16
2012/7/19,15.45
2012/7/20,16.27
2012/7/23,18.620001
2012/7/24,20.469999
2012/7/25,19.34
2012/7/26,17.530001
2012/7/27,16.700001
2012/7/30,18.030001
2012/7/31,18.93
2012/8/1,18.959999
2012/8/2,17.57
2012/8/3,15.64
2012/8/6,15.95
2012/8/7,15.99
2012/8/8,15.32
2012/8/9,15.28
2012/8/10,14.74
2012/8/13,13.7
2012/8/14,14.85
2012/8/15,14.63
2012/8/16,14.29
2012/8/17,13.45
2012/8/20,14.02
2012/8/21,15.02
2012/8/22,15.11
2012/8/23,15.96
2012/8/24,15.18
2012/8/27,16.35
2012/8/28,16.49
2012/8/29,17.059999
2012/8/30,17.83
2012/8/31,17.469999
2012/9/4,17.98
2012/9/5,17.74
2012/9/6,15.6
2012/9/7,14.38
2012/9/10,16.280001
2012/9/11,16.41
2012/9/12,15.8
2012/9/13,14.05
2012/9/14,14.51
2012/9/17,14.59
2012/9/18,14.18
2012/9/19,13.88
2012/9/20,14.07
2012/9/21,13.98
2012/9/24,14.15
2012/9/25,15.43
2012/9/26,16.809999
2012/9/27,14.84
2012/9/28,15.73
2012/10/1,16.32
2012/10/2,15.71
2012/10/3,15.43
2012/10/4,14.55
2012/10/5,14.33
2012/10/8,15.11
2012/10/9,16.370001
2012/10/10,16.290001
2012/10/11,15.59
2012/10/12,16.139999
2012/10/15,15.27
2012/10/16,15.22
2012/10/17,15.07
2012/10/18,15.03
2012/10/19,17.059999
2012/10/22,16.620001
2012/10/23,18.83
2012/10/24,18.33
2012/10/25,18.120001
2012/10/26,17.809999
2012/10/31,18.6
2012/11/1,16.690001
2012/11/2,17.59
2012/11/5,18.42
2012/11/6,17.58
2012/11/7,19.08
2012/11/8,18.49
2012/11/9,18.610001
2012/11/12,16.68
2012/11/13,16.65
2012/11/14,17.92
2012/11/15,17.99
2012/11/16,16.41
2012/11/19,15.24
2012/11/20,15.08
2012/11/21,15.31
2012/11/23,15.14
2012/11/26,15.5
2012/11/27,15.92
2012/11/28,15.51
2012/11/29,15.06
2012/11/30,15.87
2012/12/3,16.639999
2012/12/4,17.120001
2012/12/5,16.459999
2012/12/6,16.58
2012/12/7,15.9
2012/12/10,16.049999
2012/12/11,15.57
2012/12/12,15.95
2012/12/13,16.559999
2012/12/14,17
2012/12/17,16.34
2012/12/18,15.57
2012/12/19,17.360001
2012/12/20,17.67
2012/12/21,17.84
2012/12/24,17.84
2012/12/26,19.48
2012/12/27,19.469999
2012/12/28,22.719999
2012/12/31,18.02
2013/1/2,14.68
2013/1/3,14.56
2013/1/4,13.83
2013/1/7,13.79
2013/1/8,13.62
2013/1/9,13.81
2013/1/10,13.49
2013/1/11,13.36
2013/1/14,13.52
2013/1/15,13.55
2013/1/16,13.42
2013/1/17,13.57
2013/1/18,12.46
2013/1/22,12.43
2013/1/23,12.46
2013/1/24,12.69
2013/1/25,12.89
2013/1/28,13.57
2013/1/29,13.31
2013/1/30,14.32
2013/1/31,14.28
2013/2/1,12.9
2013/2/4,14.67
2013/2/5,13.72
2013/2/6,13.41
2013/2/7,13.5
2013/2/8,13.02
2013/2/11,12.94
2013/2/12,12.64
2013/2/13,12.98
2013/2/14,12.66
2013/2/15,12.46
2013/2/19,12.31
2013/2/20,14.68
2013/2/21,15.22
2013/2/22,14.17
2013/2/25,18.99
2013/2/26,16.870001
2013/2/27,14.73
2013/2/28,15.51
2013/3/1,15.36
2013/3/4,14.01
2013/3/5,13.48
2013/3/6,13.53
2013/3/7,13.06
2013/3/8,12.59
2013/3/11,11.56
2013/3/12,12.27
2013/3/13,11.83
2013/3/14,11.3
2013/3/15,11.3
2013/3/18,13.36
2013/3/19,14.39
2013/3/20,12.67
2013/3/21,13.99
2013/3/22,13.57
2013/3/25,13.74
2013/3/26,12.77
2013/3/27,13.15
2013/3/28,12.7
2013/4/1,13.58
2013/4/2,12.78
2013/4/3,14.21
2013/4/4,13.89
2013/4/5,13.92
2013/4/8,13.19
2013/4/9,12.84
2013/4/10,12.36
2013/4/11,12.24
2013/4/12,12.06
2013/4/15,17.27
2013/4/16,13.96
2013/4/17,16.51
2013/4/18,17.559999
2013/4/19,14.97
2013/4/22,14.39
2013/4/23,13.48
2013/4/24,13.61
2013/4/25,13.62
2013/4/26,13.61
2013/4/29,13.71
2013/4/30,13.52
2013/5/1,14.49
2013/5/2,13.59
2013/5/3,12.85
2013/5/6,12.66
2013/5/7,12.83
2013/5/8,12.66
2013/5/9,13.13
2013/5/10,12.59
2013/5/13,12.55
2013/5/14,12.77
2013/5/15,12.81
2013/5/16,13.07
2013/5/17,12.45
2013/5/20,13.02
2013/5/21,13.37
2013/5/22,13.82
2013/5/23,14.07
2013/5/24,13.99
2013/5/28,14.48
2013/5/29,14.83
2013/5/30,14.53
2013/5/31,16.299999
2013/6/3,16.280001
2013/6/4,16.27
2013/6/5,17.5
2013/6/6,16.629999
2013/6/7,15.14
2013/6/10,15.44
2013/6/11,17.07
2013/6/12,18.59
2013/6/13,16.41
2013/6/14,17.15
2013/6/17,16.799999
2013/6/18,16.610001
2013/6/19,16.639999
2013/6/20,20.49
2013/6/21,18.9
2013/6/24,20.110001
2013/6/25,18.469999
2013/6/26,17.209999
2013/6/27,16.860001
2013/6/28,16.860001
2013/7/1,16.370001
2013/7/2,16.440001
2013/7/3,16.200001
2013/7/5,14.89
2013/7/8,14.78
2013/7/9,14.35
2013/7/10,14.21
2013/7/11,14.01
2013/7/12,13.84
2013/7/15,13.79
2013/7/16,14.42
2013/7/17,13.78
2013/7/18,13.77
2013/7/19,12.54
2013/7/22,12.29
2013/7/23,12.66
2013/7/24,13.18
2013/7/25,12.97
2013/7/26,12.72
2013/7/29,13.39
2013/7/30,13.39
2013/7/31,13.45
2013/8/1,12.94
2013/8/2,11.98
2013/8/5,11.84
2013/8/6,12.72
2013/8/7,12.98
2013/8/8,12.73
2013/8/9,13.41
2013/8/12,12.81
2013/8/13,12.31
2013/8/14,13.04
2013/8/15,14.73
2013/8/16,14.37
2013/8/19,15.1
2013/8/20,14.91
2013/8/21,15.94
2013/8/22,14.76
2013/8/23,13.98
2013/8/26,14.99
2013/8/27,16.77
2013/8/28,16.49
2013/8/29,16.809999
2013/8/30,17.01
2013/9/3,16.610001
2013/9/4,15.88
2013/9/5,15.77
2013/9/6,15.85
2013/9/9,15.63
2013/9/10,14.53
2013/9/11,13.82
2013/9/12,14.29
2013/9/13,14.16
2013/9/16,14.38
2013/9/17,14.53
2013/9/18,13.59
2013/9/19,13.16
2013/9/20,13.12
2013/9/23,14.31
2013/9/24,14.08
2013/9/25,14.01
2013/9/26,14.06
2013/9/27,15.46
2013/9/30,16.6
2013/10/1,15.54
2013/10/2,16.6
2013/10/3,17.67
2013/10/4,16.74
2013/10/7,19.41
2013/10/8,20.34
2013/10/9,19.6
2013/10/10,16.48
2013/10/11,15.72
2013/10/14,16.07
2013/10/15,18.66
2013/10/16,14.71
2013/10/17,13.48
2013/10/18,13.04
2013/10/21,13.16
2013/10/22,13.33
2013/10/23,13.42
2013/10/24,13.2
2013/10/25,13.09
2013/10/28,13.31
2013/10/29,13.41
2013/10/30,13.65
2013/10/31,13.75
2013/11/1,13.28
2013/11/4,12.93
2013/11/5,13.27
2013/11/6,12.67
2013/11/7,13.91
2013/11/8,12.9
2013/11/11,12.53
2013/11/12,12.82
2013/11/13,12.52
2013/11/14,12.37
2013/11/15,12.19
2013/11/18,13.1
2013/11/19,13.39
2013/11/20,13.4
2013/11/21,12.66
2013/11/22,12.26
2013/11/25,12.79
2013/11/26,12.81
2013/11/27,12.98
2013/11/29,13.7
2013/12/2,14.23
2013/12/3,14.55
2013/12/4,14.7
2013/12/5,15.08
2013/12/6,13.79
2013/12/9,13.49
2013/12/10,13.91
2013/12/11,15.42
2013/12/12,15.54
2013/12/13,15.76
2013/12/16,16.030001
2013/12/17,16.209999
2013/12/18,13.8
2013/12/19,14.15
2013/12/20,13.79
2013/12/23,13.04
2013/12/24,12.48
2013/12/26,12.33
2013/12/27,12.46
2013/12/30,13.56
