machine_frame
23
26
17
24
26
18
25
23
23
21
10
17
20
15
18
19
14
19
24
33
28
31
26
25
28
24
29
28
32
26
7
17
9
10
14
17
17
15
12
16
12
6
9
9
3
0
2
8
30
35
37
39
42
38
40
32
37
36
34
30
38
35
31
14
9
8
7
8
8
8
7
8
4
8
7
7
8
8
36
32
29
27
29
27
24
26
29
18
24
25
26
27
31
3
4
5
1
1
6
6
8
8
6
8
8
6
5
7
6
7
6
3
7
7
7
7
6
6
6
7
7
6
7
9
3
3
6
8
7
6
5
9
6
5
6
8
2
1
1
1
2
1
1
1
1
1
2
2
4
7
7
5
7
1
1
4
4
5
1
7
3
2
8
4
1
7
6
8
6
3
5
1
1
5
7
7
7
4
4
10
16
14
10
10
5
10
7
9
8
15
11
11
16
14
8
2
2
2
3
3
2
3
2
0
2
2
5
6
4
6
7
4
5
6
6
3
8
7
6
7
8
7
10
14
16
12
11
12
6
7
7
3
6
5
6
6
6
5
4
3
5
4
6
6
7
10
9
7
11
11
11
12
12
11
10
10
11
12
10
11
6
4
4
5
6
5
7
4
5
5
5
6
6
14
12
8
5
8
6
5
7
7
6
7
6
7
7
6
4
7
5
6
