machineID,machine_include_apps,machine_include_containers
m_1202,27,27
m_189,2,5
m_2218,32,32
m_1112,12,14
m_2054,19,21
m_3526,11,12
m_848,15,18
m_229,31,32
m_227,16,16
m_1636,17,20
m_462,22,23
m_1234,14,18
m_2719,12,14
m_2416,23,23
m_3345,12,13
m_477,31,31
m_3156,11,11
m_1915,11,11
m_2577,17,24
m_60,18,19
m_1913,17,19
m_1686,8,8
m_3495,14,14
m_2321,28,28
m_3715,21,24
m_924,11,14
m_1371,16,16
m_496,14,17
m_3720,5,22
m_65,31,32
m_819,12,18
m_2389,20,20
m_1091,15,17
m_1080,32,32
m_2730,15,35
m_2424,16,18
m_39,20,22
m_3553,16,20
m_1912,8,8
m_1264,19,21
m_97,15,17
m_3419,13,17
m_1777,9,9
m_1037,32,32
m_3135,22,22
m_2914,9,9
m_398,18,21
m_3198,3,23
m_741,14,25
m_2849,30,30
m_3587,7,7
m_2202,15,17
m_1154,9,9
m_900,28,30
m_1712,12,12
m_2795,12,15
m_913,30,30
m_2670,11,11
m_1251,31,31
m_3556,9,12
m_2314,30,30
m_1588,19,19
m_883,15,17
m_2452,31,31
m_3096,8,9
m_3730,24,24
m_1780,16,20
m_2875,10,10
m_1991,14,17
m_861,13,19
m_2526,29,29
m_1409,30,30
m_968,21,23
m_3230,18,35
m_2888,12,16
m_2804,18,23
m_604,9,9
m_2691,30,30
m_1486,13,16
m_1566,31,31
m_2796,29,29
m_1843,13,19
m_2709,14,17
m_1111,9,9
m_1994,22,22
m_2484,20,21
m_693,9,9
m_1711,9,9
m_228,18,23
m_2960,17,17
m_929,8,8
m_585,8,8
m_612,12,14
m_2571,25,25
m_761,11,11
m_66,10,10
m_966,14,17
m_1542,14,23
m_3820,15,19
m_2962,11,14
m_319,7,8
m_2913,18,19
m_1059,19,22
m_2274,15,16
m_3403,16,21
m_1330,17,17
m_3621,8,8
m_1858,13,19
m_1905,12,12
m_999,4,23
m_3848,14,19
m_3178,15,16
m_510,15,17
m_3193,18,21
m_1453,10,10
m_2156,19,23
m_332,14,17
m_3085,14,24
m_3817,13,18
m_3116,14,16
m_2486,11,15
m_3153,15,18
m_1800,21,21
m_3571,29,29
m_3315,16,19
m_1867,19,23
m_3664,29,29
m_787,23,25
m_146,29,29
m_1431,10,13
m_1434,16,18
m_2824,14,19
m_2187,16,21
m_3416,15,15
m_3778,16,19
m_3105,19,20
m_51,16,18
m_896,21,23
m_293,9,9
m_1635,9,9
m_3686,11,14
m_173,19,22
m_1181,17,17
m_2205,30,30
m_533,34,34
m_114,11,13
m_25,7,7
m_1032,28,28
m_567,31,31
m_2490,24,24
m_14,12,14
m_188,15,19
m_3765,12,15
m_30,20,22
m_1839,13,17
m_116,27,27
m_1607,8,8
m_3484,11,11
m_445,16,21
m_2635,21,21
m_2595,9,9
m_739,31,32
m_3761,25,25
m_2268,16,20
m_2724,10,10
m_1625,13,16
m_3701,29,29
m_3283,24,24
m_2232,30,30
m_134,24,24
m_3249,12,18
m_2477,22,24
m_1196,17,18
m_1795,11,15
m_2468,27,27
m_520,14,17
m_2327,19,21
m_1177,15,17
m_1121,14,16
m_2855,9,9
m_2703,28,29
m_2903,16,25
m_2869,14,19
m_2201,4,12
m_4009,12,13
m_1874,25,25
m_991,9,9
m_3041,13,16
m_3958,14,23
m_696,19,19
m_2411,16,19
m_1974,11,11
m_245,15,15
m_3131,27,27
m_379,29,29
m_1555,31,31
m_2787,16,20
m_56,9,9
m_1015,13,18
m_2687,12,15
m_2583,16,20
m_3337,21,22
m_1253,13,26
m_2175,10,14
m_2408,30,30
m_1932,15,16
m_2142,15,16
m_1025,21,23
m_735,21,21
m_1256,9,9
m_2531,10,11
m_1799,27,28
m_1358,33,33
m_1957,15,17
m_1331,11,12
m_1187,33,33
m_3896,20,21
m_3400,15,17
m_177,14,17
m_3206,9,9
m_2741,12,14
m_1024,13,14
m_2549,15,24
m_1718,11,11
m_1073,13,22
m_1725,17,19
m_1065,33,33
m_888,18,19
m_1334,14,23
m_3962,9,9
m_506,23,23
m_3629,15,19
m_2834,10,13
m_2697,8,8
m_1922,17,17
m_260,1,1
m_3122,15,17
m_940,33,33
m_801,7,7
m_561,3,23
m_3655,18,18
m_1393,14,17
m_2617,19,21
m_2674,13,16
m_3328,31,31
m_397,13,14
m_3125,9,9
m_1854,22,24
m_869,28,28
m_402,15,16
m_2827,13,17
m_1618,2,2
m_3954,21,21
m_2830,12,16
m_2593,27,27
m_482,13,15
m_3877,8,10
m_2138,24,26
m_1609,22,22
m_2145,11,11
m_1550,31,31
m_2675,13,15
m_4031,30,30
m_648,13,15
m_3243,18,22
m_1950,20,22
m_1439,16,17
m_3431,16,17
m_3236,6,13
m_2565,13,15
m_3216,18,23
m_151,8,8
m_502,13,16
m_793,20,20
m_3034,10,10
m_1435,22,23
m_681,18,20
m_415,11,12
m_2941,17,21
m_2300,18,19
m_392,15,20
m_1170,17,21
m_2938,9,17
m_3251,8,8
m_828,29,29
m_367,16,22
m_2624,30,30
m_252,11,16
m_3024,17,20
m_821,10,10
m_2038,30,30
m_1828,32,32
m_3871,14,17
m_2397,30,30
m_568,14,19
m_745,29,29
m_2929,3,5
m_1413,17,17
m_366,4,12
m_1296,11,15
m_210,16,18
m_3485,13,16
m_875,17,18
m_588,32,32
m_2260,16,17
m_853,30,30
m_3996,13,15
m_1990,9,9
m_2034,15,17
m_2540,13,14
m_3346,14,18
m_3140,10,10
m_421,12,14
m_3265,18,19
m_3827,18,19
m_2608,11,13
m_813,10,10
m_1447,27,27
m_1984,15,19
m_3630,3,5
m_2398,15,18
m_2256,9,9
m_2077,12,16
m_1003,34,34
m_1754,13,19
m_301,9,9
m_1294,20,22
m_2379,33,33
m_1402,14,14
m_3481,16,16
m_297,11,14
m_1113,14,17
m_2856,21,22
m_1669,28,29
m_2161,8,8
m_2140,29,29
m_1850,33,33
m_1323,12,14
m_3542,21,22
m_2747,30,30
m_979,21,24
m_2230,13,16
m_40,10,10
m_3596,16,17
m_2784,4,4
m_2160,15,17
m_1632,30,30
m_927,8,8
m_675,10,11
m_1962,13,15
m_3018,15,23
m_790,21,22
m_1250,13,16
m_2426,18,18
m_2168,14,16
m_3245,29,29
m_3783,10,10
m_481,20,23
m_731,13,16
m_2151,10,16
m_3048,30,30
m_708,29,29
m_58,14,20
m_3061,31,31
m_2969,9,9
m_21,18,22
m_3920,27,27
m_2612,29,31
m_1020,14,15
m_2808,31,31
m_1363,14,16
m_1505,15,16
m_2966,14,16
m_8,12,18
m_871,28,28
m_73,16,20
m_3697,17,21
m_2102,10,10
m_2086,32,32
m_2939,12,20
m_3897,18,19
m_509,30,30
m_3978,15,22
m_2924,15,17
m_464,8,8
m_2542,16,19
m_399,15,18
m_1995,22,22
m_2853,28,28
m_3146,19,22
m_569,14,16
m_3833,20,24
m_1701,19,23
m_1119,21,23
m_1948,14,14
m_59,14,18
m_3299,17,36
m_1257,23,23
m_200,19,21
m_2554,14,18
m_1916,9,9
m_2619,18,23
m_2876,17,18
m_1252,20,21
m_3219,15,18
m_2039,16,21
m_2943,9,9
m_879,21,21
m_1815,14,16
m_1856,31,31
m_1803,10,13
m_2153,33,33
m_2335,10,10
m_107,11,11
m_2182,22,23
m_965,14,17
m_2720,13,15
m_395,26,28
m_707,10,10
m_1595,20,24
m_494,11,14
m_876,19,23
m_2211,13,22
m_2267,7,14
m_3613,27,27
m_1847,19,19
m_3805,22,23
m_2333,21,22
m_1370,15,24
m_501,11,18
m_2961,14,19
m_814,19,23
m_1694,20,23
m_3456,12,17
m_314,20,24
m_2076,13,14
m_2131,9,9
m_2742,25,25
m_2353,21,23
m_280,16,17
m_970,19,21
m_2401,19,23
m_2262,19,20
m_1722,9,9
m_2806,15,21
m_161,8,8
m_2727,16,23
m_2470,19,20
m_1007,13,16
m_2063,26,26
m_627,14,18
m_774,32,32
m_1570,15,17
m_1929,18,18
m_594,12,15
m_2096,29,30
m_756,21,22
m_3535,30,31
m_3670,11,11
m_840,29,29
m_2481,12,15
m_1965,11,14
m_2056,8,8
m_3242,12,12
m_3706,12,18
m_2357,20,20
m_2041,16,19
m_2179,21,24
m_2504,8,8
m_339,27,27
m_169,10,10
m_1081,18,20
m_2166,29,29
m_362,29,30
m_1610,11,16
m_3551,17,22
m_1648,10,12
m_2902,11,11
m_3709,21,23
m_2444,13,15
m_283,20,21
m_3477,21,22
m_3021,32,32
m_2550,10,10
m_1568,22,23
m_1273,9,9
m_118,32,32
m_2518,18,18
m_1716,15,19
m_4015,29,29
m_640,16,21
m_948,26,26
m_414,27,30
m_2986,9,9
m_3885,20,23
m_1117,9,11
m_3012,11,16
m_3194,12,15
m_156,8,8
m_3165,15,17
m_3482,20,23
m_574,16,21
m_1797,20,23
m_3370,10,10
m_2059,16,19
m_1696,14,15
m_2341,32,32
m_1762,10,10
m_393,20,23
m_3776,10,10
m_1557,16,20
m_10,22,23
m_1282,18,20
m_1438,31,31
m_2365,21,23
m_2733,9,9
m_3769,19,21
m_244,17,20
m_3111,14,16
m_898,31,31
m_1075,28,28
m_2528,17,22
m_2035,13,16
m_583,10,13
m_736,14,17
m_3318,12,14
m_2805,9,9
m_2217,21,23
m_2762,9,9
m_1028,30,30
m_3439,19,23
m_2351,4,12
m_1816,16,16
m_2912,29,29
m_947,18,21
m_3666,6,6
m_1266,17,22
m_1674,10,15
m_3103,15,18
m_350,10,14
m_2394,6,6
m_3473,17,18
m_706,15,21
m_3044,17,21
m_247,18,22
m_253,18,18
m_689,10,14
m_3278,28,28
m_3267,18,21
m_1997,11,16
m_1628,30,30
m_1824,32,32
m_287,8,10
m_3983,20,23
m_2819,13,16
m_1857,30,30
m_1144,19,24
m_3975,30,30
m_1714,13,16
m_3201,20,23
m_2862,25,25
m_603,13,22
m_2686,13,17
m_3950,21,21
m_467,10,10
m_3184,20,21
m_3179,28,28
m_1569,9,9
m_3093,11,21
m_910,7,7
m_1789,11,16
m_2199,29,29
m_2116,8,8
m_915,19,20
m_3147,11,11
m_917,9,9
m_2760,19,21
m_628,18,23
m_1737,31,31
m_2238,15,17
m_3170,8,8
m_409,15,15
m_3672,14,20
m_597,8,8
m_1983,9,9
m_2277,20,21
m_1748,20,20
m_256,33,33
m_2605,10,10
m_3729,20,23
m_4001,10,10
m_1818,12,15
m_2692,32,32
m_3633,13,17
m_1930,9,9
m_1630,10,10
m_3799,29,29
m_232,10,17
m_2402,14,18
m_825,8,8
m_2625,17,18
m_2541,18,21
m_820,32,32
m_1601,22,23
m_3365,17,18
m_3566,13,15
m_2538,10,15
m_376,29,29
m_1085,30,30
m_3462,34,34
m_79,20,20
m_3008,16,22
m_2754,19,23
m_2261,11,11
m_1305,16,20
m_4024,9,10
m_737,10,13
m_2685,15,18
m_3967,28,28
m_1219,12,12
m_2704,15,24
m_1549,11,14
m_503,13,16
m_3883,8,8
m_497,13,19
m_3846,14,21
m_1136,16,18
m_1115,9,9
m_1321,12,18
m_3270,22,23
m_1627,14,15
m_3611,8,8
m_1947,17,18
m_499,10,10
m_3029,30,30
m_720,18,23
m_138,18,23
m_3986,16,16
m_2581,27,27
m_2350,17,23
m_1313,10,10
m_2465,9,9
m_61,14,16
m_919,14,17
m_1771,14,14
m_168,12,15
m_3359,19,23
m_867,23,23
m_680,12,16
m_2309,22,22
m_3248,9,9
m_3541,15,17
m_3182,4,12
m_1367,14,14
m_2185,19,22
m_904,6,6
m_2134,29,29
m_459,17,24
m_1813,14,14
m_67,10,15
m_2297,11,14
m_309,16,18
m_3679,12,15
m_2553,18,22
m_2094,14,14
m_2415,15,17
m_3868,18,23
m_1095,16,18
m_2330,13,16
m_3856,13,16
m_1697,19,21
m_3285,13,19
m_3567,13,14
m_157,19,19
m_63,19,21
m_691,10,10
m_2529,12,21
m_1507,20,27
m_2918,8,8
m_3548,17,20
m_1658,25,26
m_1246,9,9
m_620,9,9
m_2258,19,22
m_1271,33,33
m_1733,10,23
m_3801,15,18
m_281,21,21
m_3502,18,20
m_2301,17,25
m_2485,13,15
m_1510,8,8
m_3143,12,20
m_1228,8,8
m_1892,9,9
m_419,14,17
m_3233,15,16
m_3211,21,21
m_1612,17,17
m_492,8,8
m_2033,18,23
m_2841,15,15
m_576,16,19
m_3316,21,21
m_2810,9,9
m_2074,16,23
m_589,15,17
m_3298,17,19
m_2092,30,31
m_236,10,11
m_3636,17,19
m_3235,10,10
m_1280,20,23
m_2307,14,17
m_1233,12,14
m_1405,27,27
m_3038,12,16
m_1230,16,20
m_1285,15,21
m_3418,14,20
m_1966,11,14
m_3875,19,19
m_3785,22,24
m_3938,30,30
m_3259,17,18
m_1679,28,28
m_659,18,19
m_580,19,24
m_1133,15,20
m_3917,28,28
m_1806,15,15
m_943,19,20
m_824,19,20
m_34,15,19
m_390,8,9
m_833,10,10
m_94,12,14
m_3443,19,20
m_2963,19,22
m_3935,17,20
m_3064,18,18
m_850,19,20
m_216,15,20
m_1301,17,17
m_2127,22,23
m_3889,25,25
m_3572,14,17
m_2994,11,13
m_2088,23,24
m_2007,12,14
m_3027,14,16
m_3271,11,11
m_3866,30,30
m_602,17,18
m_2312,12,16
m_3196,9,9
m_1827,11,13
m_20,20,22
m_897,19,23
m_1442,13,16
m_2671,19,19
m_3682,7,7
m_3530,13,15
m_2502,8,8
m_2112,9,9
m_3552,9,9
m_1027,12,14
m_3274,10,10
m_1426,25,25
m_995,20,20
m_3744,10,12
m_2883,11,12
m_528,16,18
m_2259,10,10
m_578,21,23
m_3253,10,10
m_2219,19,23
m_1552,10,23
m_1445,8,8
m_536,14,17
m_3317,13,15
m_3746,18,18
m_1248,12,12
m_3745,10,10
m_2378,6,6
m_3678,15,17
m_1659,18,23
m_1066,8,8
m_3429,13,16
m_3075,18,18
m_2896,9,13
m_3751,14,15
m_3142,11,11
m_3467,34,34
m_2899,30,30
m_1732,17,19
m_2656,10,10
m_3593,13,14
m_1970,32,32
m_2974,18,20
m_2866,9,10
m_3750,15,25
m_1807,25,25
m_456,20,21
m_2100,20,21
m_2210,17,21
m_1943,16,30
m_1893,22,24
m_3758,4,5
m_1292,14,16
m_3639,30,30
m_132,7,12
m_1695,27,27
m_2515,12,16
m_1573,17,19
m_2871,13,15
m_2597,11,16
m_2183,14,16
m_3692,34,34
m_77,14,17
m_2239,11,15
m_1719,22,22
m_85,9,11
m_446,9,9
m_288,14,17
m_2332,19,23
m_1742,18,23
m_1188,14,14
m_2794,10,10
m_2496,10,15
m_3068,16,16
m_1395,8,8
m_4034,13,21
m_709,9,9
m_621,19,23
m_3594,14,16
m_2838,31,31
m_2325,27,27
m_2006,21,22
m_1528,30,30
m_2046,14,17
m_478,17,21
m_408,8,8
m_3468,9,9
m_3793,11,13
m_2126,11,18
m_1030,24,25
m_317,8,8
m_1247,17,19
m_1581,20,23
m_2213,12,12
m_3845,9,11
m_1398,9,15
m_3544,4,5
m_1083,12,16
m_3362,10,10
m_42,15,15
m_54,17,18
m_2633,15,21
m_3879,13,14
m_974,9,9
m_1166,16,18
m_3410,11,14
m_3003,8,8
m_3576,15,18
m_391,20,21
m_1307,12,16
m_714,26,26
m_852,15,20
m_3942,17,19
m_989,18,20
m_3922,13,16
m_1498,30,30
m_2043,10,10
m_658,13,16
m_806,29,29
m_796,17,22
m_2701,14,17
m_1242,12,15
m_2051,17,20
m_2395,13,15
m_1684,10,10
m_2208,30,30
m_2255,14,16
m_1145,11,13
m_2298,15,17
m_838,15,17
m_642,18,19
m_1198,32,32
m_2743,10,12
m_3826,14,16
m_1898,20,23
m_3721,11,12
m_866,12,13
m_1825,8,8
m_2807,18,23
m_2078,8,8
m_4023,9,15
m_1830,20,23
m_1056,21,24
m_2885,26,26
m_3091,19,21
m_1781,10,10
m_1339,11,12
m_3223,13,19
m_3767,13,16
m_1209,9,9
m_86,32,32
m_2915,18,20
m_2714,19,20
m_546,22,24
m_3990,12,17
m_3030,14,22
m_2294,12,16
m_2011,8,8
m_2272,30,30
m_3386,19,19
m_717,9,9
m_3176,12,15
m_1689,30,30
m_1883,17,20
m_3933,22,23
m_125,9,12
m_2000,15,18
m_2044,27,27
m_3691,19,22
m_791,12,14
m_2015,10,10
m_3716,18,25
m_1356,15,15
m_634,25,25
m_2420,10,12
m_3646,29,29
m_3522,9,9
m_3663,15,16
m_3397,31,31
m_2957,28,28
m_3946,14,16
m_3013,16,16
m_3517,7,7
m_1254,7,7
m_3573,4,12
m_1920,16,18
m_1338,9,9
m_294,20,23
m_2215,19,20
m_1770,9,9
m_3073,11,15
m_3405,12,17
m_135,32,32
m_3754,7,7
m_633,9,10
m_203,12,19
m_422,9,13
m_3480,15,17
m_2355,28,28
m_2828,14,18
m_2478,18,20
m_1462,22,22
m_1212,13,15
m_870,30,30
m_396,14,15
m_3554,9,9
m_2859,13,17
m_2417,11,12
m_194,10,10
m_3119,15,15
m_2471,16,17
m_3807,14,17
m_2545,15,16
m_3707,14,18
m_3555,10,14
m_4021,8,8
m_1457,16,16
m_571,8,8
m_649,11,14
m_3976,8,8
m_1238,11,14
m_3488,8,8
m_3582,13,16
m_3770,20,20
m_2644,7,7
m_474,10,10
m_3734,8,8
m_2317,21,23
m_2012,8,8
m_2170,14,18
m_2615,17,17
m_1593,20,22
m_3953,17,23
m_3991,20,23
m_2908,13,20
m_674,20,20
m_1515,12,16
m_1009,19,19
m_3521,21,23
m_183,8,8
m_2523,29,29
m_2454,20,22
m_1466,31,31
m_2926,13,16
m_2879,18,23
m_2336,8,8
m_2028,14,18
m_1641,32,32
m_531,17,19
m_2798,18,21
m_3246,9,9
m_1063,9,11
m_3724,16,18
m_2672,22,23
m_2447,14,15
m_2164,18,18
m_534,9,13
m_1527,15,17
m_1200,16,17
m_725,18,20
m_3581,30,30
m_3627,20,23
m_2737,16,18
m_2680,14,18
m_2588,10,14
m_233,20,23
m_3036,15,17
m_2025,12,12
m_3797,12,16
m_349,10,16
m_246,17,17
m_2004,9,9
m_2200,9,9
m_771,26,26
m_1745,14,16
m_3527,17,21
m_1008,10,14
m_2414,12,16
m_3570,13,22
m_3855,20,23
m_873,10,10
m_1225,7,7
m_35,20,20
m_3001,8,9
m_2816,30,30
m_2430,16,16
m_1604,18,22
m_3694,29,29
m_1687,4,23
m_1147,10,10
m_171,9,13
m_2580,7,7
m_946,9,9
m_3209,20,23
m_3921,30,30
m_1834,9,9
m_1538,9,9
m_1172,12,14
m_4007,17,20
m_7,20,20
m_3244,18,20
m_551,15,20
m_3837,18,20
m_1884,25,25
m_187,20,23
m_3287,14,15
m_560,9,9
m_2119,11,15
m_1941,12,15
m_2121,14,17
m_1451,13,14
m_1265,12,15
m_3210,15,23
m_526,15,20
m_1939,19,22
m_2461,12,19
m_3832,5,13
m_2611,16,26
m_632,11,14
m_1681,33,33
m_511,22,24
m_3471,10,13
m_1638,12,16
m_2302,18,21
m_1861,10,10
m_3009,12,13
m_712,7,7
m_2970,9,13
m_1278,18,21
m_120,20,23
m_2533,12,18
m_1906,17,18
m_1810,15,16
m_566,8,9
m_2380,18,18
m_315,11,11
m_2053,12,17
m_1756,13,17
m_1562,10,10
m_2029,18,19
m_3190,22,23
m_2510,16,19
m_1680,12,13
m_2433,19,21
m_4004,16,19
m_1876,16,19
m_1730,15,17
m_1493,15,16
m_428,18,21
m_3955,8,8
m_3294,13,18
m_1204,9,9
m_2802,19,23
m_2296,18,18
m_3191,9,9
m_2731,15,25
m_1217,18,18
m_2281,9,10
m_3022,23,24
m_1394,1,1
m_1377,8,8
m_3798,12,16
m_3948,28,28
m_1649,28,28
m_1,10,10
m_702,9,9
m_3322,7,7
m_3326,19,19
m_992,29,29
m_170,12,15
m_1391,12,14
m_2120,11,18
m_922,13,16
m_931,21,23
m_3234,21,23
m_2851,8,8
m_1026,12,15
m_4017,16,23
m_522,11,20
m_1109,26,26
m_1580,20,23
m_137,14,17
m_433,11,14
m_1318,11,15
m_2648,15,22
m_3583,26,26
m_1082,11,14
m_2628,16,26
m_3523,10,10
m_1185,26,26
m_2558,8,8
m_4032,10,10
m_1041,27,27
m_26,11,13
m_2018,18,18
m_3722,15,21
m_2857,17,19
m_614,8,10
m_639,23,23
m_1108,9,9
m_1210,15,17
m_3606,13,15
m_3247,26,26
m_3163,14,16
m_2105,15,17
m_1904,11,15
m_3127,18,18
m_3981,12,15
m_3100,14,17
m_2456,15,19
m_1208,29,30
m_3518,11,11
m_2032,10,10
m_1124,12,16
m_577,17,17
m_1794,23,25
m_2638,21,23
m_1067,21,23
m_1533,17,20
m_2005,13,13
m_3569,17,19
m_3228,15,16
m_3104,7,8
m_3437,15,16
m_1989,9,13
m_1640,10,11
m_3081,11,11
m_1826,16,19
m_321,15,17
m_1720,12,13
m_3881,22,23
m_1140,7,7
m_3710,18,23
m_2803,10,10
m_1936,14,17
m_498,29,29
m_3491,10,14
m_2052,16,18
m_290,15,18
m_2279,17,23
m_1420,11,14
m_3376,29,29
m_3796,19,21
m_2144,9,9
m_2047,15,18
m_1412,14,18
m_3923,12,15
m_2566,8,8
m_3910,11,15
m_1911,19,19
m_430,14,22
m_3812,13,15
m_4006,10,10
m_3226,22,23
m_2822,33,33
m_1529,9,9
m_1029,21,23
m_1671,15,18
m_854,12,15
m_1801,14,14
m_262,10,10
m_911,9,9
m_1572,10,11
m_3063,13,17
m_676,14,16
m_3601,16,22
m_874,33,33
m_1615,8,8
m_495,12,14
m_2753,14,16
m_124,14,15
m_3964,7,7
m_1186,11,11
m_3703,22,23
m_3327,23,23
m_2173,8,8
m_1875,8,10
m_1840,10,14
m_1327,11,17
m_300,19,23
m_110,31,31
m_2129,20,22
m_455,11,14
m_3053,17,17
m_1012,9,9
m_596,10,10
m_50,18,23
m_2679,18,20
m_608,31,31
m_892,19,19
m_1500,13,29
m_1508,19,22
m_764,17,19
m_29,10,16
m_2881,28,28
m_3137,18,21
m_1283,10,11
m_153,7,8
m_1180,16,17
m_1471,16,18
m_1396,20,20
m_3076,12,13
m_28,18,20
m_2017,8,8
m_599,27,27
m_259,9,10
m_1308,18,23
m_2316,11,17
m_1189,25,25
m_3878,24,24
m_276,16,19
m_4,14,19
m_2833,10,10
m_2068,9,9
m_1512,13,20
m_1890,16,16
m_3107,16,18
m_976,27,27
m_564,16,20
m_3006,7,7
m_686,29,30
m_2192,19,21
m_759,8,11
m_508,11,14
m_3532,8,13
m_1845,9,9
m_447,17,17
m_1907,15,18
m_1128,14,17
m_2979,10,11
m_3458,31,31
m_2909,6,6
m_2587,8,8
m_600,9,9
m_1525,29,30
m_13,11,14
m_2436,10,10
m_3388,11,13
m_3836,18,22
m_2482,11,13
m_3969,13,15
m_493,14,18
m_2137,12,16
m_2900,18,18
m_1472,11,18
m_1783,15,15
m_2174,13,15
m_654,16,19
m_2732,17,19
m_2040,8,8
m_2604,10,10
m_1548,26,26
m_2512,30,30
m_1352,14,22
m_3731,13,19
m_1653,10,10
m_1872,17,20
m_213,13,19
m_827,17,23
m_3033,20,25
m_3312,17,20
m_3313,10,10
m_1090,9,9
m_1017,15,25
m_1517,16,16
m_3992,19,23
m_1079,10,10
m_2438,8,8
m_3311,9,9
m_3071,9,9
m_3956,14,14
m_2422,15,15
m_1077,10,10
m_3083,17,22
m_372,14,14
m_2693,17,19
m_865,17,22
m_547,32,32
m_3795,9,9
m_3623,30,30
m_3106,32,32
m_1171,13,14
m_3997,15,17
m_2149,13,15
m_2244,15,16
m_3290,16,20
m_215,15,17
m_3123,17,19
m_1042,15,15
m_767,29,29
m_573,18,23
m_1381,15,16
m_444,31,32
m_2276,31,31
m_3239,13,17
m_1537,19,23
m_3614,8,8
m_3394,9,9
m_1258,12,12
m_1792,8,8
m_1598,30,30
m_1567,14,14
m_1631,11,12
m_472,16,19
m_3115,14,18
m_335,14,14
m_3213,29,29
m_4010,9,9
m_1061,15,24
m_3407,12,13
m_195,11,11
m_2049,11,15
m_331,12,15
m_3428,15,18
m_823,17,19
m_115,7,7
m_1497,17,28
m_3512,10,13
m_1676,18,19
m_440,22,22
m_108,8,8
m_3217,10,10
m_2057,7,7
m_3308,14,22
m_387,19,19
m_1424,10,10
m_2616,8,8
m_1715,15,23
m_1586,14,16
m_3154,31,31
m_3450,17,22
m_1547,13,17
m_1156,10,10
m_1375,14,15
m_2125,19,20
m_2667,15,18
m_1306,9,9
m_742,13,15
m_3020,16,17
m_3420,9,9
m_2104,8,9
m_1837,22,22
m_2001,16,18
m_298,19,22
m_3888,12,17
m_1670,16,16
m_2829,17,17
m_3385,19,22
m_1465,13,19
m_716,16,20
m_3389,29,29
m_1060,15,16
m_1838,13,17
m_559,15,17
m_2996,29,29
m_773,8,8
m_2657,12,16
m_3203,8,12
m_2653,14,19
m_3208,20,23
m_105,6,6
m_96,11,17
m_1106,11,13
m_1901,12,14
m_3609,8,8
m_3094,8,12
m_535,31,31
m_1047,10,10
m_1110,21,23
m_3714,14,16
m_579,9,9
m_2036,21,23
m_3305,18,20
m_1503,32,32
m_3911,17,19
m_191,8,8
m_3175,31,31
m_69,18,22
m_2677,13,17
m_3993,14,16
m_1192,30,30
m_2878,7,12
m_1096,9,9
m_2639,8,8
m_284,32,32
m_3810,16,18
m_3893,17,19
m_832,32,32
m_3092,32,32
m_2981,19,20
m_2291,19,22
m_1575,14,19
m_3181,13,16
m_993,15,16
m_1946,9,9
m_2618,9,9
m_783,17,19
m_1312,9,9
m_1169,13,16
m_1490,10,10
m_3740,8,8
m_180,13,16
m_3843,22,23
m_2236,16,19
m_3145,31,31
m_3538,10,10
m_3822,32,32
m_3735,13,19
m_346,7,15
m_1365,10,14
m_160,15,17
m_3411,10,10
m_743,29,29
m_933,15,18
m_218,8,8
m_1190,10,12
m_2631,21,21
m_3357,6,6
m_1685,19,22
m_3607,16,17
m_1662,9,9
m_3074,14,16
m_2141,8,8
m_2873,4,12
m_760,17,17
m_3004,17,19
m_237,32,32
m_1543,9,9
m_3973,8,8
m_2150,16,19
m_549,27,27
m_2884,7,7
m_1556,13,14
m_2707,12,16
m_2097,15,24
m_217,12,15
m_1713,9,9
m_2113,9,13
m_2299,19,19
m_3286,15,17
m_3120,9,9
m_997,32,32
m_2265,11,11
m_606,13,17
m_424,15,18
m_3279,17,20
m_2118,14,14
m_2890,11,11
m_1407,15,16
m_2198,29,29
m_3934,18,19
m_1455,10,12
m_1942,19,24
m_1540,14,16
m_730,18,22
m_1666,18,22
m_3865,8,10
m_32,16,20
m_1158,32,32
m_1881,30,30
m_2660,9,9
m_1704,9,9
m_2557,13,14
m_3667,9,9
m_2613,12,18
m_2923,4,22
m_2459,16,18
m_1183,8,8
m_3688,22,23
m_3164,21,23
m_770,32,32
m_144,8,8
m_3040,13,13
m_2487,14,16
m_3188,30,30
m_345,22,24
m_9,14,14
m_752,30,30
m_2775,11,14
m_1227,18,20
m_1761,18,18
m_1702,8,15
m_3747,10,16
m_1016,18,19
m_3867,9,9
m_3725,14,16
m_2498,15,16
m_3352,9,13
m_1468,10,14
m_3738,14,17
m_670,17,18
m_1345,16,19
m_2621,9,9
m_277,9,9
m_3788,15,15
m_2643,32,32
m_668,11,13
m_3288,9,9
m_2516,12,17
m_275,15,17
m_405,9,9
m_341,16,20
m_2435,16,17
m_3984,15,17
m_2578,20,23
m_2629,20,20
m_102,20,21
m_1526,19,23
m_1416,17,27
m_1203,30,30
m_4005,12,16
m_1303,9,9
m_1418,12,15
m_1539,13,18
m_3281,15,20
m_3534,14,17
m_3792,13,16
m_1392,10,14
m_2818,9,12
m_3780,12,18
m_1480,9,9
m_1224,8,8
m_1103,15,18
m_457,16,17
m_3014,11,11
m_2323,9,15
m_224,8,8
m_3501,20,23
m_2188,18,18
m_2800,12,16
m_308,9,9
m_485,21,21
m_2359,15,19
m_3737,21,23
m_304,8,8
m_128,11,14
m_615,33,33
m_877,9,9
m_3536,16,17
